1	Chamber Italian	4.99	117
1	Grosse Wonderful	4.99	49
1	Airport Pollock	4.99	54
1	Bright Encounters	4.99	73
1	Academy Dinosaur	0.99	86
1	Ace Goldfinger	4.99	48
1	Adaptation Holes	2.99	50
1	Affair Prejudice	2.99	117
1	African Egg	2.99	130
1	Agent Truman	2.99	169
1	Airplane Sierra	4.99	62
1	Alabama Devil	2.99	114
1	Aladdin Calendar	4.99	63
1	Alamo Videotape	0.99	126
1	Alaska Phantom	0.99	136
1	Date Speed	0.99	104
1	Ali Forever	4.99	150
1	Alice Fantasia	0.99	94
1	Alien Center	2.99	46
1	Alley Evolution	2.99	180
1	Alone Trip	0.99	82
1	Alter Victory	0.99	57
1	Amadeus Holy	0.99	113
1	Amelie Hellfighters	4.99	79
1	American Circus	4.99	129
1	Amistad Midsummer	2.99	85
1	Anaconda Confessions	0.99	92
1	Analyze Hoosiers	2.99	181
1	Angels Life	2.99	74
1	Annie Identity	0.99	86
1	Anonymous Human	0.99	179
1	Anthem Luke	4.99	91
1	Antitrust Tomatoes	2.99	168
1	Anything Savannah	2.99	82
1	Apache Divine	4.99	92
1	Apocalypse Flamingos	4.99	119
1	Apollo Teen	2.99	153
1	Arabia Dogma	0.99	62
1	Arachnophobia Rollercoaster	2.99	147
1	Argonauts Town	0.99	127
1	Arizona Bang	2.99	121
1	Ark Ridgemont	0.99	68
1	Armageddon Lost	0.99	99
1	Army Flintstones	0.99	148
1	Arsenic Independence	0.99	137
1	Artist Coldblooded	2.99	170
1	Dying Maker	4.99	168
1	Atlantis Cause	2.99	170
1	Attacks Hate	4.99	113
1	Attraction Newton	4.99	83
1	Autumn Crow	4.99	108
1	Baby Hall	4.99	153
1	Backlash Undefeated	4.99	118
1	Badman Dawn	2.99	162
1	Baked Cleopatra	2.99	182
1	Casualties Encino	4.99	179
1	Balloon Homeward	2.99	75
1	Ballroom Mockingbird	0.99	173
1	Bang Kwai	2.99	87
1	Banger Pinocchio	0.99	113
1	Barbarella Streetcar	2.99	65
1	Barefoot Manchurian	2.99	129
1	Basic Easy	2.99	90
1	Beach Heartbreakers	2.99	122
1	Bear Graceland	2.99	160
1	Beast Hunchback	4.99	89
1	Beauty Grease	4.99	175
1	Bed Highball	2.99	106
1	Bedazzled Married	0.99	73
1	Beethoven Exorcist	0.99	151
1	Behavior Runaway	4.99	100
1	Beneath Rush	0.99	53
1	Berets Agent	2.99	77
1	Betrayed Rear	4.99	122
1	Beverly Outlaw	2.99	85
1	Bikini Borrowers	4.99	142
1	Bilko Anonymous	4.99	100
1	Bill Others	2.99	93
1	Bingo Talented	2.99	150
1	Birch Antitrust	4.99	162
1	Bird Independence	4.99	163
1	Birdcage Casper	0.99	103
1	Birds Perdition	4.99	61
1	Blackout Private	2.99	85
1	Blade Polish	0.99	114
1	Blanket Beverly	2.99	148
1	Blindness Gun	4.99	103
1	Blood Argonauts	0.99	71
1	Blues Instinct	2.99	50
1	Boiled Dares	4.99	102
1	Bonnie Holocaust	0.99	63
1	Boogie Amelie	4.99	121
1	Boondock Ballroom	0.99	76
1	Born Spinal	4.99	179
1	Borrowers Bedazzled	0.99	63
1	Boulevard Mob	0.99	63
1	Bound Cheaper	0.99	98
1	Bowfinger Gables	4.99	72
1	Brannigan Sunrise	4.99	121
1	Braveheart Human	2.99	176
1	Breakfast Goldfinger	4.99	123
1	Breaking Home	2.99	169
1	Bride Intrigue	0.99	56
1	Bringing Hysterical	2.99	136
1	Brooklyn Desert	4.99	161
1	Brotherhood Blanket	0.99	73
1	Bubble Grosse	4.99	60
1	Bucket Brotherhood	4.99	133
1	Bugsy Song	2.99	119
1	Bull Shawshank	0.99	125
1	Bulworth Commandments	2.99	61
1	Bunch Minds	2.99	63
1	Butch Panther	0.99	67
1	Butterfly Chocolat	0.99	89
1	Cabin Flash	0.99	53
1	Caddyshack Jedi	0.99	52
1	Calendar Gunfight	4.99	120
1	California Birds	4.99	75
1	Camelot Vacation	0.99	61
1	Campus Remember	2.99	167
1	Candidate Perdition	2.99	70
1	Candles Grapes	4.99	135
1	Canyon Stock	0.99	85
1	Caper Motions	0.99	176
1	Caribbean Liberty	4.99	92
1	Carol Texas	2.99	151
1	Carrie Bunch	0.99	114
1	Casablanca Super	4.99	85
1	Casper Dragonfly	4.99	163
1	Cassidy Wyoming	2.99	61
1	Cat Coneheads	4.99	112
1	Catch Amistad	0.99	183
1	Cause Date	2.99	179
1	Celebrity Horn	0.99	110
1	Center Dinosaur	4.99	152
1	Chainsaw Uptown	0.99	114
1	Champion Flatliners	4.99	51
1	Chance Resurrection	2.99	70
1	Clash Freddy	2.99	81
1	Chaplin License	2.99	146
1	Charade Duffel	2.99	66
1	Chariots Conspiracy	2.99	71
1	Chasing Fight	4.99	114
1	Cheaper Clyde	0.99	87
1	Chicago North	4.99	185
1	Chicken Hellfighters	0.99	122
1	Chill Luck	0.99	142
1	Chinatown Gladiator	4.99	61
1	Chisum Behavior	4.99	124
1	Chitty Lock	2.99	107
1	Chocolat Harry	0.99	101
1	Chocolate Duck	2.99	132
1	Christmas Moonshine	0.99	150
1	Cider Desire	2.99	101
